Ano;Mês/Ano;Estado;Bacia;Campo;Poço;Ambiente;Instalação;Produção de Óleo (m³);Produção de Condensado (m³);Produção de Gás Associado (Mm³);Produção de Gás Não Associado (Mm³);Produção de Água (m³);Injeção de Gás (Mm³);Injeção de Água para Recuperação Secundária (m³);Injeção de Água para Descarte (m³);Injeção de Gás Carbônico (Mm³);Injeção de Nitrogênio (Mm³);Injeção de Vapor de Água (t);Injeção de Polímeros (m³);Injeção de Outros Fluidos (m³)
2021;fev/21;Rio de Janeiro;Campos;ALBACORA LESTE;7-AB-130HP-RJS;Mar;PETROBRAS 25;1005;74267;0;107;802;0;2043;31921;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA LESTE;7-AB-132HP-RJS;Mar;PETROBRAS 25;1265;63391;0;84;64328;0;463;78196;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA LESTE;7-AB-75-RJS;Mar;PETROBRAS 25;454;73012;0;46;39267;0;683;78604;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA LESTE;7-AB-83HP-RJS;Mar;PETROBRAS 50;1294;5273;0;263;92453;0;4506;70732;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA LESTE;7-ABL-11H-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA LESTE;7-ABL-13HP-RJS;Mar;PETROBRAS 50;10369;78991;0;1635;52927;0;7906;80821;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA LESTE;7-ABL-16HP-RJS;Mar;PETROBRAS 50;8480;95075;0;659;18843;0;2175;10242;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA LESTE;7-ABL-20HP-RJS;Mar;PETROBRAS 50;8403;56497;0;895;661;0;51686;85283;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA LESTE;7-ABL-24HP-RJS;Mar;PETROBRAS 50;21051;27634;0;2500;3291;0;32614;4203;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA LESTE;7-ABL-28HP-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA LESTE;7-ABL-44HP-RJS;Mar;PETROBRAS 50;9252;5521;0;1211;59165;0;16285;561;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA LESTE;7-ABL-46HPA-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA LESTE;7-ABL-50HP-RJS;Mar;PETROBRAS 50;712;89467;0;106;67753;0;2487;70173;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA LESTE;7-ABL-54HP-RJS;Mar;PETROBRAS 50;9003;97997;0;729;3464;0;23479;3;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA LESTE;7-ABL-56HP-RJS;Mar;PETROBRAS 50;6431;95256;0;537;551;0;60207;55523;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA LESTE;7-ABL-60HP-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA LESTE;7-ABL-68HP-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA LESTE;7-ABL-71HP-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA LESTE;7-ABL-76HP-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA LESTE;7-ABL-78HP-RJS;Mar;PETROBRAS 50;13000;3384;0;1445;74958;0;29994;96539;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA LESTE;7-ABL-81HP-RJS;Mar;PETROBRAS 50;16588;96229;0;2782;14998;0;48261;58427;;;;;
